"gameid","period","possessionnumber","eventnum","x","y","value","playerid","made","time","margin","shotquality","blocked","blockplayerid","assisted","assistplayerid","putback","shottype","oreboundedshoteventnum","oreboundedrebeventnum","lineupid","opplineupid","and1","wide_open","pass_from_x","pass_from_y","pass_from_player_id","catch_and_shoot","seconds_remaining_on_shot_clock"
"0021900002",4,3,524,241,42,3,1626188,False,654,-2,NULL,False,0,NULL,0,False,"Corner3",521,523,"1626188-201162-203484-2544-2730","101150-1626149-202695-203090-203210",False,"false","65","140","2544","true","2"
"0021900002",4,41,657,234,13,3,203584,False,120,-10,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"201980-202340-203076-203584-2544","101150-1626149-201976-202695-203090",False,"false","-24","140","2544","true","13"
"0021900002",4,43,664,-92,251,3,202340,False,52,-10,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201980-202340-203076-203584-2544","101150-1626149-201976-202695-203090",False,"false","-19","80","2544","true","9"
"0021900002",4,45,677,230,58,3,203584,False,21,-10,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"202340-203076-203484-203584-2544","1626149-1629013-201976-203090-203210",False,"false","-72","-10","2544","true","18"
"0021900054",3,9,384,228,64,3,201980,True,567,-3,NULL,NULL,0,True,2544,False,"Corner3",NULL,NULL,"201580-201980-202340-203076-2544","1628415-1628991-1629630-202685-203109",False,"false","-40","180","2544","true","9"
"0021900040",2,16,225,142,211,3,203584,False,511,3,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201162-203484-203584-2544-2730","101107-1626179-1628407-1628970-1629023",False,"false","-84","150","2544","true","15"
"0021900040",2,36,301,-144,214,3,1626188,True,212,0,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"1626188-201980-202340-203076-2544","1628407-1628970-1628984-1629023-203469",False,"false","0","50","2544","true","14"
"0021900040",2,48,342,230,77,3,201980,False,52,2,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"1626188-201980-202340-203076-2544","101107-1628407-1628970-1628984-1629023",False,"false","75","140","2544","true","19"
"0021900040",3,6,387,-231,18,3,201980,True,639,2,NULL,NULL,0,True,2544,False,"Corner3",NULL,NULL,"201580-201980-202340-203076-2544","1626179-1628407-1628970-1629023-202687",False,"false","51","90","2544","true","6"
"0021900040",4,13,578,-30,265,3,203484,False,545,16,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1626188-202340-203484-2544-2730","1626179-1628407-1628970-1629023-203469",False,"false","-230","240","2544","true","15"
"0021900040",4,19,610,119,223,3,203484,True,435,17,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"1626188-202340-203484-2544-2730","1626179-1628970-1628984-1629023-203469",False,"false","-110","270","2544","true","14"
"0021900040",2,22,245,239,108,3,203584,False,416,4,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201162-203484-203584-2544-2730","1626179-1628407-1628970-1629023-203469",False,"false","-7","400","2544","true","20"
"0021900074",1,31,113,-226,19,3,202340,True,318,-14,NULL,NULL,0,True,2544,False,"Corner3",NULL,NULL,"1628398-202340-203076-203484-2544","1628382-1628467-1629029-203501-203939",False,"false","16","130","2544","true","18"
"0021900074",2,4,207,2,262,3,203584,False,649,-5,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1628398-203484-203584-2544-2730","1626153-1626246-1628467-1628973-203501",False,"false","-94","90","2544","true","5"
"0021900074",3,2,375,122,216,3,201980,True,682,-10,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"201580-201980-202340-203076-2544","1627827-1629029-203552-203939-204001",False,"false","-135","110","2544","true","5"
"0021900074",3,6,384,187,168,3,203076,False,621,-4,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201580-201980-202340-203076-2544","1627827-1629029-203552-203939-204001",False,"false","55","150","2544","true","13"
"0021900074",4,1,518,-114,237,3,203484,False,710,-9,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1627936-1628398-203484-2544-2730","1626153-1628467-1628973-203501-204001",False,"false","45","270","2544","true","15"
"0021900074",4,7,533,-109,227,3,1628398,False,628,-10,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1627936-1628398-203484-2544-2730","1626153-1628467-1628973-203501-204001",False,"true","98","280","2544","true","14"
"0021900074",4,9,537,190,152,3,1627936,False,603,-10,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1627936-1628398-203484-2544-2730","1626153-1628467-1628973-203501-204001",False,"false","-90","30","2544","true","11"
"0021900054",4,2,560,147,230,3,203584,False,698,21,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1626188-203484-203584-2544-2730","1629630-1629741-203109-203524-203998",False,"false","-80","30","2544","true","10"
"0021900100",1,29,76,156,202,3,201980,True,326,-5,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"201580-201980-203076-203484-2544","1628374-1628976-203107-203490-203897",False,"false","15","210","2544","true","19"
"0021900100",2,10,187,29,246,3,1628398,False,597,-14,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1627936-1628398-203584-2544-2730","1627739-1628976-1628990-1629632-201152",False,"true","-123","240","2544","true","16"
"0021900088",2,1,174,116,231,3,1627936,False,699,1,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1627936-203484-203584-2544-2730","1627749-1627751-200752-201158-201988",False,"false","-157","180","2544","true","4"
"0021900088",2,45,319,111,234,3,1628398,False,59,7,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1628398-202340-203076-203484-2544","1628401-200746-200752-201942-201988",False,"true","-42","110","2544","true","17"
"0021900088",3,3,344,-182,165,3,203076,False,674,13,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201580-201980-202340-203076-2544","1626168-1627749-1627854-200746-201942",False,"true","5","270","2544","true","15"
"0021900088",4,34,634,-217,137,3,203484,True,204,2,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"201980-203076-203484-2544-2730","1627749-1627854-200746-200752-201942",False,"true","39","40","2544","true","19"
"0021900126",1,28,84,232,95,3,1628398,False,312,10,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1628398-201980-203076-203484-2544","1628389-1629134-201609-201949-202710",False,"false","-80","110","2544","true","14"
"0021900126",1,32,96,-206,147,3,201980,False,277,8,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1628398-201980-203076-203484-2544","1628389-1629639-201609-201949-202710",False,"false","-84","290","2544","true","16"
"0021900126",2,19,220,-144,203,3,203484,False,421,3,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1627936-1628398-203484-2544-2730","1628389-1629130-201609-202710-203482",False,"false","0","90","2544","true","15"
"0021900126",2,23,227,-230,14,3,203484,False,368,4,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"1627936-1628398-203484-2544-2730","1628389-1629130-201609-202710-203482",False,"false","-90","130","2544","true","12"
"0021900126",2,39,288,-173,177,3,202340,False,111,2,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1628398-202340-203076-203584-2544","1628389-1629134-1629639-202710-203482",False,"true","1","350","2544","true","20"
"0021900126",2,43,304,2,253,3,203584,True,60,1,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"1628398-202340-203076-203584-2544","1628389-1629639-201609-202710-203482",False,"false","85","230","2544","true","15"
"0021900126",3,15,381,141,212,3,201980,False,528,6,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201580-201980-202340-203076-2544","1628389-1629130-1629134-202710-203086",False,"false","-52","410","2544","true","20"
"0021900100",2,48,316,-236,29,3,1628398,False,69,-17,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"1628398-201580-201980-203484-2544","1628374-1628976-203107-203490-203897",False,"false","2","130","2544","true","18"
"0021900100",3,44,472,168,247,3,1628398,False,130,-11,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1626188-1628398-201980-2544-2730","1627739-1628436-1628990-1629632-201152",False,"false","-59","290","2544","true","10"
"0021900100",4,15,585,237,14,3,1627936,False,462,1,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"1626188-1627936-1628398-2544-2730","1628374-1628976-1629632-203107-203897",False,"false","-30","40","2544","true","9"
"0021900100",4,19,591,44,260,3,1628398,False,402,1,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1626188-1627936-1628398-2544-2730","1628374-1628976-1629632-203107-203897",False,"false","-109","280","2544","true","14"
"0021900100",4,23,605,-230,-11,3,1626188,True,369,4,NULL,NULL,0,True,2544,False,"Corner3",NULL,NULL,"1626188-1627936-203076-2544-2730","1628374-1628976-203107-203490-203897",False,"true","-2","70","2544","true","13"
