game_id,player_id,team_id,opponent_team_id,minutes,off_poss,def_poss,drives,drive_fgm,drive_fga,drive_ftm,drive_fta,drive_points,drive_passes,drive_assists,drive_turnovers,drive_fouls,passes_made,passes_received,assists,ft_assists,secondary_assists,potential_assists,adj_assists,assist_pts,steals,blocks,def_rim_fgm,def_rim_fga,touches,front_court_touches,time_of_poss,seconds_per_touch,dribbles_per_touch,elbow_touches,elbow_touch_fgm,elbow_touch_fga,elbow_touch_ftm,elbow_touch_fta,elbow_touch_points,elbow_touch_passes,elbow_touch_assists,elbow_touch_turnovers,elbow_touch_fouls,paint_touches,paint_touch_fgm,paint_touch_fga,paint_touch_ftm,paint_touch_fta,paint_touch_points,paint_touch_passes,paint_touch_assists,paint_touch_turnovers,paint_touch_fouls,post_touches,post_touch_fgm,post_touch_fga,post_touch_ftm,post_touch_fta,post_touch_points,post_touch_passes,post_touch_assists,post_touch_turnovers,post_touch_fouls,oreb,oreb_contest,oreb_uncontest,oreb_chances,oreb_chance_defer,dreb,dreb_contest,dreb_uncontest,dreb_chances,dreb_chance_defer,feet,miles,miles_off,miles_def,avg_speed,avg_speed_off,avg_speed_def
0041900121,203935,1610612738,1610612755,31.9,60,60,5,0,2,2,2,2,1,0,0,1,24,26,1,0,0,3,1,2,2,0,1,1,35,12,2.6,4.41,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,11575,2.19,1.17,1.02,3.84,4.38,3.36
0041900121,203954,1610612755,1610612738,37.5,71,71,2,1,1,0,0,2,0,0,1,0,48,44,1,0,1,4,2,2,2,1,7,12,76,47,2.7,2.1,0.99,8,1,1,3,4,5,2,0,2,2,6,1,3,3,4,5,0,0,0,2,7,3,4,0,0,6,2,0,0,0,5,3,2,10,0,11,4,7,23,2,12994,2.46,1.37,1.09,3.77,4.09,3.43
0041900121,1626196,1610612755,1610612738,37.18,71,71,7,1,3,0,0,2,3,1,1,0,43,47,2,2,0,7,4,8,0,0,0,0,66,46,3.9,3.53,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,6,9,0,14636,2.77,1.56,1.21,4.24,4.52,3.92
0041900121,1627759,1610612738,1610612755,38.87,74,74,11,2,5,4,4,8,3,1,0,2,29,31,4,0,2,4,7,12,3,0,1,3,51,26,2.5,2.99,1.98,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,4,0,4,7,1,14572,2.76,1.48,1.28,4.06,4.65,3.53
0041900121,1627788,1610612755,1610612738,7.08,13,13,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,1,5,4,0.3,3.47,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3005,0.57,0.33,0.24,4.66,4.35,3.35
0041900121,1628369,1610612738,1610612755,41.45,78,78,10,6,6,4,4,17,2,0,0,2,41,34,1,1,1,5,3,4,0,3,3,6,69,29,4.2,3.65,2.49,1,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,7,0,10,2,8,13,1,15418,2.92,1.54,1.38,3.92,4.34,3.55
0041900121,1628464,1610612738,1610612755,25.03,51,48,1,0,1,0,0,0,0,0,0,0,22,24,3,0,0,2,3,7,1,1,5,6,31,22,0.9,1.79,0.68,1,1,1,0,0,2,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,2,6,2,9227,1.75,0.89,0.85,3.85,4.33,3.86
0041900121,1629003,1610612755,1610612738,25.68,50,50,3,1,1,0,0,2,2,0,0,0,39,48,3,0,1,4,4,6,0,0,0,0,52,21,4.5,5.2,4.44,1,1,1,0,0,2,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9701,1.84,0.98,0.86,3.98,4.22,4.18
0041900121,1629057,1610612738,1610612755,12.58,24,23,0,0,0,0,0,0,0,0,0,0,11,10,1,0,0,3,1,3,0,0,2,4,16,14,0.3,1.26,0.31,2,0,0,0,0,0,1,0,0,0,4,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,7,1,2,2,0,4,0,4776,0.9,0.45,0.45,3.96,4.81,3.25
0041900121,1629641,1610612738,1610612755,0.18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0.01,0.01,0.0,0.0,0.0,0.0
